frame,x,y,z,roll,pitch,yaw,tracking_state,n_keypoints,n_map_matches,is_keyframe
197,-0.575752,0.013418,1.001824,3.858,-13.911,-19.048,OK,1203,186,0
198,-0.578179,0.013477,1.005306,3.884,-13.848,-19.006,OK,1203,326,0
199,-0.580604,0.013642,1.008130,3.933,-13.782,-18.916,OK,1200,252,0
200,-0.582676,0.013630,1.010716,3.964,-13.725,-18.855,OK,1203,234,0
201,-0.584775,0.013511,1.013139,3.960,-13.691,-18.762,OK,1202,224,0
202,-0.587353,0.013591,1.015792,4.007,-13.626,-18.619,OK,1202,200,0
203,-0.588595,0.013062,1.018970,3.965,-13.665,-18.677,OK,1205,213,0
204,-0.591230,0.013090,1.021875,4.075,-13.610,-18.563,OK,1202,324,0
205,-0.593264,0.013098,1.024485,4.089,-13.550,-18.481,OK,1202,245,0
206,-0.595944,0.013114,1.026739,4.173,-13.502,-18.296,OK,1203,198,0
207,-0.597498,0.012707,1.029653,4.190,-13.519,-18.299,OK,1202,190,0
208,-0.599798,0.012625,1.032901,4.148,-13.461,-18.197,OK,1202,194,0
209,-0.600828,0.011997,1.035777,4.175,-13.521,-18.282,OK,1204,187,0
210,-0.604027,0.012851,1.038219,4.243,-13.304,-17.987,OK,1200,272,0
211,-0.606455,0.013148,1.040414,4.373,-13.207,-17.807,OK,1201,222,0
212,-0.607800,0.012092,1.043589,4.305,-13.327,-17.837,OK,1203,190,0
213,-0.609938,0.012081,1.046503,4.287,-13.260,-17.730,OK,1206,181,0
214,-0.612054,0.012375,1.048627,4.323,-13.145,-17.544,OK,1202,179,0
215,-0.614771,0.012501,1.051180,4.422,-13.074,-17.333,OK,1203,268,0
216,-0.616962,0.012641,1.054062,4.550,-13.015,-17.219,OK,1201,189,0
217,-0.618933,0.012616,1.056657,4.540,-12.949,-17.071,OK,1204,177,0
218,-0.620917,0.012711,1.058834,4.537,-12.871,-16.882,OK,1197,160,0
219,-0.623204,0.012428,1.061683,4.633,-12.878,-16.738,OK,1201,170,0
220,-0.624641,0.012313,1.063953,4.624,-12.845,-16.634,OK,1200,261,0
221,-0.626614,0.012163,1.066337,4.717,-12.821,-16.466,OK,1197,201,0
222,-0.627580,0.011631,1.068503,4.620,-12.862,-16.408,OK,1192,171,0
223,-0.629698,0.011760,1.070449,4.775,-12.801,-16.160,OK,1199,179,0
224,-0.631418,0.012398,1.072393,4.815,-12.619,-15.932,OK,1198,175,0
225,-0.632708,0.012279,1.074428,4.853,-12.606,-15.793,OK,1189,226,0
226,-0.634202,0.012509,1.075846,4.878,-12.506,-15.527,OK,1202,192,0
227,-0.635843,0.011999,1.077107,5.080,-12.616,-15.241,OK,1196,172,0
228,-0.636788,0.011920,1.078866,5.051,-12.584,-15.066,OK,1167,167,0
229,-0.638141,0.012122,1.079953,5.159,-12.519,-14.772,OK,1169,160,0
230,-0.639303,0.012200,1.081618,5.201,-12.464,-14.560,OK,1174,171,0
231,-0.640824,0.012062,1.083053,5.310,-12.463,-14.260,OK,1173,158,0
232,-0.642462,0.011902,1.084482,5.333,-12.466,-13.915,OK,1170,133,0
233,-0.642703,0.011995,1.085765,5.493,-12.434,-13.878,OK,1147,136,0
234,-0.644037,0.011526,1.087947,5.516,-12.500,-13.666,OK,1139,182,0
235,-0.644976,0.011522,1.089057,5.523,-12.468,-13.442,OK,1158,159,0
236,-0.646621,0.012225,1.090160,5.741,-12.305,-13.074,OK,1157,143,0
237,-0.647252,0.011026,1.091959,5.608,-12.523,-12.932,OK,1141,137,0
238,-0.648234,0.010829,1.092952,5.647,-12.547,-12.615,OK,1131,152,0
239,-0.648724,0.010848,1.094242,5.837,-12.563,-12.500,OK,1140,145,0
240,-0.649138,0.010987,1.095158,5.846,-12.508,-12.253,OK,1124,137,0
241,-0.651148,0.010878,1.095064,5.921,-12.523,-11.621,OK,1119,138,0
242,-0.651013,0.010494,1.096330,6.033,-12.633,-11.587,OK,1123,139,0
243,-0.652014,0.010645,1.096778,6.171,-12.607,-11.244,OK,1112,139,0
244,-0.653243,0.010909,1.096677,6.314,-12.563,-10.768,OK,1110,126,0
245,-0.653661,0.010826,1.096897,6.403,-12.593,-10.517,OK,1104,127,0
246,-0.653803,0.010726,1.098037,6.478,-12.637,-10.408,OK,1098,181,0
247,-0.653906,0.010614,1.098799,6.450,-12.647,-10.233,OK,1095,147,0
248,-0.654506,0.010435,1.098459,6.659,-12.737,-9.820,OK,1076,143,0
249,-0.655603,0.010664,1.098852,6.750,-12.694,-9.417,OK,1073,129,0
250,-0.655815,0.010193,1.099498,6.920,-12.853,-9.256,OK,1049,146,0
251,-0.656360,0.010530,1.099588,7.015,-12.785,-8.920,OK,1077,159,0
252,-0.659919,0.009571,1.100177,7.125,-13.058,-7.968,OK,1048,145,0
253,-0.661454,0.009648,1.100092,7.254,-13.074,-7.385,OK,1082,148,0
254,-0.661844,0.009554,1.100223,7.370,-13.122,-7.096,OK,1035,164,0
255,-0.662858,0.009356,1.100789,7.450,-13.195,-6.677,OK,1047,160,0
256,-0.663010,0.009449,1.100027,7.615,-13.209,-6.272,OK,1051,151,0
257,-0.664847,0.009294,1.100136,7.812,-13.298,-5.631,OK,1041,156,0
258,-0.665838,0.008148,1.100610,7.628,-13.539,-5.138,OK,1015,167,0
259,-0.666621,0.008985,1.100712,8.050,-13.430,-4.790,OK,984,168,0
260,-0.669262,0.007549,1.100859,7.903,-13.769,-3.874,OK,1032,159,0
261,-0.670007,0.007521,1.101208,8.027,-13.813,-3.469,OK,1055,160,0
262,-0.670447,0.007378,1.101811,8.120,-13.889,-3.153,OK,970,175,0
263,-0.671780,0.007194,1.101659,8.297,-13.988,-2.534,OK,985,183,0
264,-0.671779,0.007229,1.101779,8.483,-14.015,-2.283,OK,964,180,0
265,-0.671530,0.006921,1.100963,8.628,-14.128,-2.040,OK,966,173,0
266,-0.671529,0.006906,1.101073,8.776,-14.177,-1.781,OK,893,187,0
267,-0.671519,0.006885,1.100805,8.979,-14.229,-1.538,OK,825,183,0
268,-0.675491,0.006776,1.098959,9.168,-14.355,0.039,OK,766,172,0
269,-0.675465,0.006769,1.098810,9.258,-14.395,0.307,OK,745,163,0
270,-0.675927,0.006546,1.098699,9.434,-14.507,0.698,OK,729,177,0
271,-0.679002,0.005917,1.099664,9.381,-14.681,1.679,OK,763,170,0
272,-0.690219,0.003639,1.099836,8.997,-15.214,4.740,OK,740,176,0
273,-0.691209,0.003711,1.100341,9.114,-15.247,5.241,OK,672,183,0
274,-0.692543,0.003215,1.100882,9.140,-15.403,5.867,OK,692,181,0
275,-0.693163,0.002628,1.101314,9.143,-15.575,6.347,OK,699,181,0
276,-0.721422,0.000161,1.099894,8.832,-16.213,14.165,OK,690,172,0
277,-0.722926,0.000210,1.100978,8.952,-16.268,14.854,OK,686,187,0
278,-0.724695,0.000903,1.102173,9.254,-16.195,15.585,OK,671,175,0
279,-0.725460,-0.000018,1.103358,9.158,-16.439,16.171,OK,593,134,0
280,-0.739800,-0.000757,1.103670,9.142,-16.717,20.634,OK,559,149,0
281,-0.740442,-0.001497,1.104946,9.066,-16.918,21.223,OK,604,138,0
282,-0.741511,-0.000758,1.106372,9.394,-16.857,21.813,OK,587,139,0
283,-0.741877,-0.001526,1.107687,9.240,-17.058,22.364,OK,581,164,0
284,-0.743659,-0.002723,1.109250,9.084,-17.401,23.502,OK,609,171,0
285,-0.744533,-0.003248,1.110745,9.106,-17.590,24.137,OK,646,167,0
286,-0.744799,-0.003252,1.111316,9.183,-17.649,24.569,OK,681,176,0
287,-0.745832,-0.003418,1.113338,9.259,-17.760,25.279,OK,724,205,0
288,-0.750417,-0.005206,1.114530,8.860,-18.202,27.328,OK,717,191,0
